,home,Average Score
0,New Zealand A,227.0
1,Baluchistan,217.0
2,India A,214.0
3,Northerns (Zimbabwe),198.5
4,Port Qasim Authority,190.0
5,Pakistan A,189.0
6,Karachi Region Blues,185.0
7,Abbottabad Region,182.66666666666666
8,Brisbane Heat,181.42857142857142
9,Somerset,180.33333333333334
10,Lahore Qalandars,179.0
11,St Kitts and Nevis Patriots,178.2
12,Hyderabad Region,175.0
13,Hobart Hurricanes,174.72727272727272
14,Police Sports Club,174.0
15,Australia A,174.0
16,Dhaka Gladiators,172.66666666666666
17,Tamil Nadu,172.0
18,Abahani Limited,172.0
19,Queensland,170.14285714285714
20,Trinbago Knight Riders,170.0
21,Peshawar Region,170.0
22,Western Australia,169.875
23,Karachi Blues,169.5
24,Kings XI Punjab,169.25
25,Lahore Region Whites,169.0
26,Otago,169.0
27,Sialkot Stallions,169.0
28,North West,168.88888888888889
29,Khulna Royal Bengals,168.8
30,Dhaka Metropolis,168.5
31,Worcestershire,168.05882352941177
32,Victoria,167.41666666666666
33,Chennai Super Kings,167.34426229508196
34,Essex,167.3409090909091
35,Mumbai Indians,166.9090909090909
36,Wellington,166.35294117647058
37,Bangladesh A,166.0
38,Central Districts,165.9090909090909
39,Nottinghamshire,165.47058823529412
40,Lahore Eagles,165.07692307692307
41,Western Troopers,165.0
42,Abbottabad Rhinos,165.0
43,Hyderabad (India),164.33333333333334
44,Auckland,164.25714285714287
45,Royal Challengers Bangalore,163.95744680851064
46,Rawalpindi Rams,163.66666666666666
47,South Australia,163.375
48,Adelaide Strikers,163.11111111111111
49,Northamptonshire,163.0810810810811
50,Sialkot Region,163.0
51,Lahore Whites,162.66666666666666
52,Chittagong Vikings,162.5
53,Northern Cape,162.33333333333334
54,Canterbury,161.9
55,Hampshire,161.79591836734693
56,Colombo Cricket Club,161.75
57,Sri Lanka,161.52941176470588
58,Tasmania,161.28571428571428
59,Zimbabwe,161.0
60,Karachi Whites,161.0
61,Gujarat Lions,161.0
62,Sydney Thunder,160.75
63,Hyderabad Hawks,160.28571428571428
64,Zimbabwe XI,160.0
65,Northern Districts,159.875
66,Nondescripts Cricket Club,159.55555555555554
67,Lahore Lions,159.52631578947367
68,South Africa,159.5185185185185
69,Karachi Zebras,159.11111111111111
70,Chittagong Kings,159.1
71,Udarata Rulers,159.0
72,Mountaineers,158.85714285714286
73,Mashonaland Eagles,158.2941176470588
74,Sinhalese Sports Club,158.25
75,Uthura Yellows,158.0
76,Yorkshire,158.0
77,Namibia,158.0
78,Warwickshire,157.925
79,England,157.76470588235293
80,Barisal Bulls,157.75
81,Colts Cricket Club,157.55555555555554
82,Sydney Sixers,157.54545454545453
83,Kent,157.525
84,Sussex,157.33333333333334
85,Dolphins,157.17857142857142
86,Rajasthan Royals,156.4102564102564
87,Leicestershire,156.27027027027026
88,Kandy Crusaders,156.0
89,Wayamba United,156.0
90,Uthura Rudras,156.0
91,Combined Provinces,156.0
92,Surrey,155.7906976744186
93,Chilaw Marians Cricket Club,155.75
94,Tamil Union Cricket and Athletic Club,155.625
95,Perth Scorchers,155.52941176470588
96,Titans,155.475
97,Durham,155.37142857142857
98,Cape Cobras,155.15384615384616
99,Delhi Daredevils,155.0
100,Kandurata Warriors,155.0
101,Badureliya Sports Club,155.0
102,Colombo Commandos,155.0
103,Knights,154.9090909090909
104,Goa,154.9
105,Australia,154.78787878787878
106,Bengal,154.76
107,Barisal Burners,154.72727272727272
108,Gloucestershire,154.63636363636363
109,Bahawalpur Region,154.6
110,Karachi Kings,154.5
111,Lancashire,154.05769230769232
112,Lions,154.02702702702703
113,Mumbai,154.0
114,Deccan Chargers,153.92307692307693
115,Gujarat,153.84615384615384
116,Trinidad & Tobago Red Steel,153.8181818181818
117,Mid West Rhinos,153.42857142857142
118,Pakistan,153.42105263157896
119,Antigua and Barbuda,153.0
120,New Zealand,152.5
121,Rajasthan,152.45454545454547
122,Eagles,152.08333333333334
123,Jamaica Tallawahs,151.8125
124,Western Province,151.5
125,Uttar Pradesh,151.14285714285714
126,Islamabad,151.0
127,Pune Warriors,151.0
128,Free State,150.9
129,Melbourne Stars,150.86666666666667
130,Middlesex,150.66666666666666
131,Ragama Cricket Club,150.625
132,Ruhuna,150.625
133,Islamabad United,149.85714285714286
134,Faisalabad Wolves,149.58620689655172
135,Bermuda,149.5
136,Duronto Rajshahi,149.4
137,England Lions,149.33333333333334
138,Sunrisers Hyderabad,149.1764705882353
139,Bahawalpur Stags,149.16666666666666
140,Prime Bank Cricket Club,149.0
141,Baroda,148.71428571428572
142,Easterns,148.33333333333334
143,India,148.1818181818182
144,Kurunegala Youth Cricket Club,148.0
145,Barbados Tridents,147.6153846153846
146,Multan Region,147.5
147,St Lucia Zouks,146.83333333333334
148,Boland,146.57142857142858
149,Kolkata Knight Riders,146.57142857142858
150,Derbyshire,146.57142857142858
151,Odisha,146.5
152,Quetta Gladiators,146.0
153,Peshawar Panthers,146.0
154,Antigua,146.0
155,Kenya,146.0
156,Khyber Pakhtunkhwa,146.0
157,Delhi,145.93939393939394
158,Afghanistan,145.5609756097561
159,Glamorgan,145.3548387096774
160,Galle Guardians,145.33333333333334
161,Bangladesh,145.13333333333333
162,Warriors,145.0857142857143
163,Peshawar Zalmi,145.0
164,Ruhuna Royals,145.0
165,Maharashtra,144.875
166,Moors Sports Club,144.85714285714286
167,Easterns (Zimbabwe),144.25
168,Saurashtra,144.0
169,Kurunegala Warriors,143.5
170,Sri Lanka Air Force Sports Club,143.0
171,Pakistan Television,143.0
172,Kerala,143.0
173,Madhya Pradesh,142.5909090909091
174,Saracens Sports Club,142.5
175,Larkana Region,142.0
176,Melbourne Renegades,142.0
177,Basnahira,141.66666666666666
178,Kandurata,141.66666666666666
179,Trinidad & Tobago,141.2
180,Netherlands,141.07692307692307
181,Railways,140.92307692307693
182,Orissa,140.66666666666666
183,Scotland,140.6
184,Sri Lanka A,140.375
185,Stanford Superstars,140.0
186,Peshawar,140.0
187,FATA Cheetas,140.0
188,Pakistan International Airlines,139.75
189,Basnahira South,139.75
190,Guyana,139.57142857142858
191,Federally Administered Tribal Areas,139.5
192,Abbottabad Falcons,139.45454545454547
193,Habib Bank Limited,139.4
194,United Arab Emirates,139.08333333333334
195,Basnahira Greens,139.0
196,Sebastianites Cricket and Athletic Club,139.0
197,Assam,139.0
198,Matabeleland Tuskers,139.0
199,Comilla Victorians,138.85714285714286
200,Dhaka Dynamites,138.8
201,Griqualand West,138.44444444444446
202,Himachal Pradesh,138.23076923076923
203,Haryana,138.15
204,Rangpur Riders,137.88888888888889
205,New South Wales,137.5
206,KwaZulu-Natal Inland,137.25
207,KwaZulu-Natal,137.2
208,Guyana Amazon Warriors,136.06666666666666
209,Lahore Blues,136.0
210,Border,135.7
211,West Indies,135.42857142857142
212,Islamabad Leopards,135.33333333333334
213,Combined Campuses and Colleges,134.5
214,Karnataka,134.33333333333334
215,Khulna Division,134.0
216,Panadura Sports Club,133.66666666666666
217,South Western Districts,133.6
218,Canada,133.58333333333334
219,Khulna Titans,133.0
220,Hambantota Troopers,132.5
221,Burgher Recreation Club,132.4
222,Multan Tigers,132.125
223,Kandurata Maroons,132.0
224,Nepal,132.0
225,Bangladesh XI,132.0
226,Eastern Province,131.92307692307693
227,Punjab,131.8
228,Wayamba,131.75
229,Khan Research Laboratories,131.66666666666666
230,Khan Research Labs,131.66666666666666
231,Rajshahi Division,131.0
232,Jharkhand,130.9
233,Andhra,130.69230769230768
234,Italy,130.2
235,Dhaka Division,130.0
236,Mohammedan Sporting Club,130.0
237,Kochi Tuskers Kerala,129.66666666666666
238,Hong Kong,129.66666666666666
239,Northerns,129.5
240,State Bank of Pakistan,129.33333333333334
241,Gauteng,129.22222222222223
242,Basnahira Cricket Dundee,129.0
243,Sri Lanka Army,128.5
244,Ireland,128.28
245,North Island,127.0
246,Basnahira North,126.0
247,Sylhet Royals,126.0
248,Lahore Region Blues,125.5
249,Rising Pune Supergiants,124.5
250,Bloomfield Cricket and Athletic Club,124.16666666666667
251,Uganda,124.0
252,Azad Jammu & Kashmir Region,123.0
253,West Indies A,122.6
254,Southern Rocks,122.0
255,Barbados,120.84615384615384
256,Barisal Division,118.0
257,Jamaica,117.36363636363636
258,Sri Lanka Ports Authority Cricket Club,117.0
259,Centrals,117.0
260,Eastern Cape,116.0
261,Sylhet Super Stars,112.0
262,Galle Cricket Club,109.0
263,Services,109.0
264,Jersey,107.0
265,Antigua Hawksbills,106.0
266,Nevis,104.0
267,Uva Next,101.0
268,St Vincent,96.0
269,Lankan Cricket Club,93.0
270,National Bank of Pakistan,81.0
271,Nagenahira Nagas,77.0
272,Montserrat,70.0
273,Grenada,70.0
274,Sui Northern Gas Pipelines Limited,66.0
