,Band_Name,Album_Name,reviews_count,band/album
12111,Pandämonium,With Oden on Our Side,26,"Pandämonium's ""With Oden on Our Side"""
7290,Berserker Barage,Illud Divinum Insanus,27,"Berserker Barage's ""Illud Divinum Insanus"""
7282,Berserker Barage,Altars of Madness,35,"Berserker Barage's ""Altars of Madness"""
7017,Ashes to Dust,From Beyond,28,"Ashes to Dust's ""From Beyond"""
6880,Apostate,The Ten Commandments,28,"Apostate's ""The Ten Commandments"""
5727,Vomitando Bilis,Close to a World Below,32,"Vomitando Bilis's ""Close to a World Below"""
3080,Qrixkuor,To Hell with God,30,"Qrixkuor's ""To Hell with God"""
3078,Qrixkuor,The Stench of Redemption,38,"Qrixkuor's ""The Stench of Redemption"""
3077,Qrixkuor,Scars of the Crucifix,30,"Qrixkuor's ""Scars of the Crucifix"""
3072,Qrixkuor,Legion,46,"Qrixkuor's ""Legion"""
