,albums,bands
2017.0,12618.0,
2016.0,12614.0,11261.0
2015.0,11818.0,11234.0
2014.0,10851.0,11118.0
2013.0,9882.0,10909.0
2012.0,8972.0,10601.0
2011.0,8086.0,10214.0
2010.0,7277.0,9774.0
2009.0,6535.0,9275.0
2008.0,5862.0,8716.0
2007.0,5201.0,8097.0
2006.0,4579.0,7416.0
2005.0,4002.0,6640.0
2004.0,3435.0,5866.0
2003.0,2941.0,5172.0
2002.0,2497.0,4498.0
2001.0,2083.0,4014.0
2000.0,1775.0,3571.0
1999.0,1489.0,3172.0
1998.0,1200.0,2795.0
1997.0,967.0,2453.0
1996.0,759.0,2157.0
1995.0,579.0,1879.0
1994.0,420.0,1633.0
1993.0,293.0,1379.0
1992.0,184.0,1132.0
1991.0,99.0,870.0
1990.0,48.0,630.0
1989.0,30.0,413.0
1988.0,20.0,248.0
1987.0,18.0,150.0
1986.0,,88.0
1985.0,16.0,60.0
1984.0,,34.0
1983.0,15.0,14.0
1982.0,,11.0
1981.0,,8.0
1980.0,,7.0
1979.0,14.0,
1978.0,,6.0
1973.0,13.0,
1971.0,11.0,
1970.0,9.0,4.0
1969.0,8.0,
1968.0,7.0,
1967.0,6.0,2.0
1966.0,4.0,
1965.0,3.0,
1964.0,2.0,
1963.0,1.0,
